Company Name,Glassdoor Rating,Employee Count
"Arcadia",4,"501 to 1000 Employees"
"Cedar",4.5,"201 to 500 Employees"
"Doximity",4.3,"501 to 1000 Employees"
"Novo Nordisk",4.3,"10000+ Employees"
"Zocdoc",3.9,"501 to 1000 Employees"
"Thrive Market",N/A,"1001 to 5000 Employees"
"Cerebral",3.2,"N/A"
"Medcare MSO",3.5,"201 to 500 Employees"
"Auris Health",3.7,"201 to 500 Employees"
"Spark Advisors",5,"Employees"
"Pfizer",3.8,"Global Company Size10000+ Employees"
"8th Light, Inc.",3.6,"51 to 200 Employees"
"GHX",3.8,"501 to 1000 Employees"
"Iterative Health",3.4,"51 to 200 Employees"
"NuvoAir",4.1,"51 to 200 Employees"
"Life Fitness",3.9,"1001 to 5000 Employees"
"Schrödinger, Inc.",3.7,"501 to 1000 Employees"
"Alma",3.2,"201 to 500 Employees"
"GoHealth",2.7,"1001 to 5000 Employees"
"Strive Health",3.5,"501 to 1000 Employees"
"Cylinder",4.7,"51 to 200 Employees"
"Artera",3.6,"201 to 500 Employees"
"Flatiron Health",3.4,"1001 to 5000 Employees"
"Apploi",4.3,"Employees"
"Grow Therapy",4.8,"N/A"
"Healthcare Management Administrators (HMA)",3.8,"Employees"
"Imprivata",3.5,"N/A"
"Formation Bio",3.6,"51 to 200 Employees"
"InterSystems",N/A,"1001 to 5000 Employees"
"Vivian Health",3.4,"51 to 200 Employees"
"Nourish",4.1,"51 to 200 Employees"
"Rula",4.5,"1001 to 5000 Employees"
"Ro",2.9,"501 to 1000 Employees"
"firsthand Health Inc",3.2,"201 to 500 Employees"
"HealthJoy",3.7,"51 to 200 Employees"
"Inato",4.6,"51 to 200 Employees"
"Click Therapeutics",3.9,"5001 to 10000 Employees"
"ZS",3.6,"10000+ Employees"
"Cencora",3.6,"10000+ Employees"
"IMO Health",3.8,"201 to 500 Employees"
"WHOOP",3.4,"501 to 1000 Employees"
"Aceable",4.3,"51 to 200 Employees"
"Endpoint Clinical, Inc.",3.4,"Employees"
"Carrot Fertility",3.1,"201 to 500 Employees"
"Cohere Health",3.6,"201 to 500 Employees"
"SOPHiA GENETICS",3.8,"201 to 500 Employees"
"Hart Medical Equipment",3.6,"201 to 500 Employees"
"ImmunityBio",2.8,"201 to 500 Employees"
"Verse Medical",4.2,"51 to 200 Employees"
"Verve Therapeutics",4.2,"201 to 500 Employees"
"VerifiedFirst",4.3,"51 to 200 Employees"
"Brave Health",2.9,"N/A"
"Edwards Lifesciences",4,"N/A"
"Best Practice Medicine",2.8,"N/A"
"Magellan Health",3.4,"1001 to 5000 Employees"
"Q-Centrix",4,"1001 to 5000 Employees"
"ICA, Inc.",3.5,"51 to 200 Employees"
"Gozio Health",N/A,"201 to 500 Employees"
"Pinnacol Assurance",N/A,"Global Company Size501 to 1000 Employees"
"Danaher Corporation",3.9,"Global Company Size201 to 500 Employees"
"SWORD Health",3.1,"201 to 500 Employees"
"LifeMD",3.6,"51 to 200 Employees"
"Suki Ai",4.2,"51 to 200 Employees"
"K Health",3.1,"201 to 500 Employees"
"Prenuvo",3.5,"201 to 500 Employees"
"ShiftMed",3.8,"201 to 500 Employees"
"Quadax",2.9,"501 to 1000 Employees"
"Dental365",3.6,"501 to 1000 Employees"
"Martin's Point Health Care",3.4,"N/A"
"LifeStance Health",3.2,"5001 to 10000 Employees"
"ResMed",4.1,"Employees"
"ModMed",N/A,"1001 to 5000 Employees"
"Outset Medical",3.4,"Employees"
"CoverMyMeds",3.1,"1001 to 5000 Employees"
"Biointellisense",2.7,"51 to 200 Employees"
"Essity",3.9,"Global Company Size10000+ Employees"
"ClearChoiceMD",N/A,"201 to 500 Employees"
"MANSCAPED, Inc.",4.1,"N/A"
"InnovaCare Health",2.6,"1001 to 5000 Employees"
"Becton Dickinson",3.9,"Employees"
"athenahealth",4,"5001 to 10000 Employees"
"iHealth Labs",3.8,"51 to 200 Employees"
"Daxko",3.5,"Employees"
"Santen",3.5,"1001 to 5000 Employees"
"Topcon Healthcare",3.1,"201 to 500 Employees"
"Community Health Center",3.1,"51 to 200 Employees"
"Inizio Evoke",2.7,"1001 to 5000 Employees"
"GE Healthcare",4.2,"N/A"
"Resilience (resilience.com).",3.4,"51 to 200 Employees"
"Cardinal Health",3.7,"N/A"
"iMedX",4,"1001 to 5000 Employees"
"Cook Children's Health Care System",4.2,"Employees"
"Rhythm (myrhythmnow.com)",2.9,"N/A"
"Philips",3.9,"Global Company Size10000+ Employees"
"Zenas BioPharma",5,"1 to 50 Employees"
"Sevita",3,"10000+ Employees"
"Mission Healthcare",3.9,"1001 to 5000 Employees"
"Gossamer Bio",N/A,"N/A"
"Aetion",3.4,"201 to 500 Employees"
"Verana Health",2.3,"51 to 200 Employees"
"Infinx",1,"1 to 50 Employees"
"Computercraft Corporation",N/A,"N/A"
"emids",3.7,"1001 to 5000 Employees"
"Revance",3.2,"201 to 500 Employees"
"Advocate Aurora Health",3.7,"Global Company Size10000+ Employees"
"Wellthy",3.9,"201 to 500 Employees"
"R3",3.7,"51 to 200 Employees"
"Clipboard Health",3.7,"501 to 1000 Employees"
"TRIMEDX",3.7,"1001 to 5000 Employees"
"HCTec",2.6,"501 to 1000 Employees"
"WVU Medicine",3.5,"Employees"
"Molekule",3.1,"Employees"
"Vytalize Health",3.7,"201 to 500 Employees"
"Coherus BioSciences",3.5,"N/A"
"Health Gorilla",3.1,"51 to 200 Employees"
"Bristol Myers Squibb",3.7,"Global Company Size10000+ Employees"
"Twin Health",4.1,"501 to 1000 Employees"
"IQVIA",3.9,"N/A"
"Mindoula",N/A,"N/A"
"Fotona",2.6,"Employees"
"Quest Analytics, LLC",4,"201 to 500 Employees"
"Daybreak Health",2.3,"51 to 200 Employees"
"Acuity International, LLC",3.6,"1001 to 5000 Employees"
"John Snow Labs",3.9,"Employees"
"Thyme Care",3.9,"1 to 50 Employees"
"MCRA",4.1,"Employees"
"PatientIQ",4.7,"51 to 200 Employees"
"Protenus",4.5,"51 to 200 Employees"
"Intelerad Medical Systems",3.2,"501 to 1000 Employees"
"Braeburn",4.8,"Global Company Size1 to 50 Employees"
"Crossroads",4.6,"1001 to 5000 Employees"
"H1",3.6,"501 to 1000 Employees"
"Sleep Doctor",3.7,"N/A"
"Kaia Health",N/A,"N/A"
"Eleos Health",4.6,"51 to 200 Employees"
"Studion",3.6,"1 to 50 Employees"
"1upHealth",3.7,"51 to 200 Employees"
"CarepathRx",2.9,"1001 to 5000 Employees"
"Altera Digital Health",3.5,"1001 to 5000 Employees"
"Neogene Therapeutics",5,"N/A"
"SafelyYou",3.7,"N/A"
"Univera Healthcare",3.8,"N/A"
"InductiveHealth",3.3,"51 to 200 Employees"
"Lexington Medical",4.4,"51 to 200 Employees"
"Ribbon Health",4,"51 to 200 Employees"
"Terumo",3.2,"501 to 1000 Employees"
"Wayspring",4.7,"51 to 200 Employees"
"IntrinsiQ Specialty Solutions",2.5,"N/A"
"Essia Health",3.4,"1001 to 5000 Employees"
"Kindbody",2.8,"201 to 500 Employees"
"Arcadia",4,"501 to 1000 Employees"
"Cedar",4.5,"201 to 500 Employees"
"Doximity",4.3,"N/A"
"Novo Nordisk",4.3,"Global Company Size5001 to 10000 Employees"
"Zocdoc",3.9,"501 to 1000 Employees"
"Thrive Market",3.6,"1001 to 5000 Employees"
"Cerebral",3.2,"N/A"
"Medcare MSO",3.5,"201 to 500 Employees"
"Auris Health",3.7,"201 to 500 Employees"
"Spark Advisors",5,"Employees"
"Pfizer",3.8,"Global Company Size10000+ Employees"
"8th Light, Inc.",3.6,"51 to 200 Employees"
"GHX",3.8,"501 to 1000 Employees"
"Iterative Health",3.4,"51 to 200 Employees"
"NuvoAir",4.1,"51 to 200 Employees"
"Life Fitness",3.9,"1001 to 5000 Employees"
"Schrödinger, Inc.",3.7,"501 to 1000 Employees"
"Alma",3.2,"201 to 500 Employees"
"GoHealth",2.7,"1001 to 5000 Employees"
"Strive Health",3.5,"501 to 1000 Employees"
"Cylinder",4.7,"51 to 200 Employees"
"Artera",3.6,"201 to 500 Employees"
"Flatiron Health",3.4,"1001 to 5000 Employees"
"Apploi",4.3,"Employees"
"Grow Therapy",4.8,"N/A"
"Healthcare Management Administrators (HMA)",3.8,"Employees"
"Imprivata",3.5,"N/A"
"Formation Bio",3.6,"51 to 200 Employees"
"InterSystems",4.3,"1001 to 5000 Employees"
"Vivian Health",3.4,"51 to 200 Employees"
"Nourish",4.1,"51 to 200 Employees"
"Rula",4.5,"1001 to 5000 Employees"
"Ro",2.9,"501 to 1000 Employees"
"firsthand Health Inc",3.2,"201 to 500 Employees"
"HealthJoy",3.7,"51 to 200 Employees"
"Inato",4.6,"51 to 200 Employees"
"Click Therapeutics",3.9,"5001 to 10000 Employees"
"ZS",3.6,"10000+ Employees"
"Cencora",3.6,"Global Company Size10000+ Employees"
"IMO Health",3.8,"201 to 500 Employees"
"WHOOP",3.4,"501 to 1000 Employees"
"Aceable",4.3,"51 to 200 Employees"
"Endpoint Clinical, Inc.",3.4,"Employees"
"Carrot Fertility",3.1,"201 to 500 Employees"
"Cohere Health",3.6,"201 to 500 Employees"
"SOPHiA GENETICS",3.8,"201 to 500 Employees"
"Hart Medical Equipment",3.6,"201 to 500 Employees"
"ImmunityBio",2.8,"201 to 500 Employees"
"Verse Medical",4.2,"51 to 200 Employees"
"Verve Therapeutics",4.2,"201 to 500 Employees"
"VerifiedFirst",4.3,"51 to 200 Employees"
"Brave Health",2.9,"N/A"
"Edwards Lifesciences",4,"N/A"
"Best Practice Medicine",2.8,"N/A"
"Magellan Health",3.4,"1001 to 5000 Employees"
"Q-Centrix",4,"1001 to 5000 Employees"
"ICA, Inc.",3.5,"51 to 200 Employees"
"Gozio Health",N/A,"201 to 500 Employees"
"Pinnacol Assurance",N/A,"Global Company Size501 to 1000 Employees"
"Danaher Corporation",3.9,"Global Company Size201 to 500 Employees"
"SWORD Health",3.1,"201 to 500 Employees"
"LifeMD",3.6,"51 to 200 Employees"
"Suki Ai",4.2,"51 to 200 Employees"
"K Health",3.1,"201 to 500 Employees"
"Prenuvo",3.5,"201 to 500 Employees"
"ShiftMed",3.8,"201 to 500 Employees"
"Quadax",2.9,"501 to 1000 Employees"
"Dental365",3.6,"501 to 1000 Employees"
"Martin's Point Health Care",3.4,"N/A"
"LifeStance Health",3.2,"5001 to 10000 Employees"
"ResMed",4.1,"Employees"
"ModMed",N/A,"1001 to 5000 Employees"
"Outset Medical",3.4,"Employees"
"CoverMyMeds",3.1,"1001 to 5000 Employees"
"Biointellisense",2.7,"51 to 200 Employees"
"Essity",3.9,"Global Company Size10000+ Employees"
"ClearChoiceMD",N/A,"201 to 500 Employees"
"MANSCAPED, Inc.",4.1,"N/A"
"InnovaCare Health",2.6,"1001 to 5000 Employees"
"Becton Dickinson",3.9,"Employees"
"athenahealth",4,"5001 to 10000 Employees"
"iHealth Labs",3.8,"51 to 200 Employees"
"Daxko",3.5,"Employees"
"Santen",3.5,"1001 to 5000 Employees"
"Topcon Healthcare",3.1,"201 to 500 Employees"
"Community Health Center",3.1,"51 to 200 Employees"
"Inizio Evoke",2.7,"1001 to 5000 Employees"
"GE Healthcare",4.2,"N/A"
"Resilience (resilience.com).",3.4,"10000+ Employees"
"Cardinal Health",3.7,"N/A"
"iMedX",4,"1001 to 5000 Employees"
"Cook Children's Health Care System",4.2,"Employees"
"Rhythm (myrhythmnow.com)",2.9,"N/A"
"Philips",3.9,"Global Company Size10000+ Employees"
"Zenas BioPharma",5,"1 to 50 Employees"
"Sevita",3,"10000+ Employees"
"Mission Healthcare",3.9,"1001 to 5000 Employees"
"Gossamer Bio",N/A,"N/A"
"Aetion",3.4,"201 to 500 Employees"
"Verana Health",2.3,"51 to 200 Employees"
"Infinx",1,"1 to 50 Employees"
"Computercraft Corporation",N/A,"N/A"
"emids",3.7,"1001 to 5000 Employees"
"Revance",3.2,"201 to 500 Employees"
"Advocate Aurora Health",3.7,"Global Company Size10000+ Employees"
"Wellthy",3.9,"201 to 500 Employees"
"R3",3.7,"51 to 200 Employees"
"Clipboard Health",3.7,"501 to 1000 Employees"
"TRIMEDX",3.7,"1001 to 5000 Employees"
"HCTec",2.6,"501 to 1000 Employees"
"WVU Medicine",3.5,"Employees"
"Molekule",3.1,"Employees"
"Vytalize Health",3.7,"201 to 500 Employees"
"Coherus BioSciences",3.5,"N/A"
"Health Gorilla",3.1,"51 to 200 Employees"
"Bristol Myers Squibb",3.7,"Global Company Size10000+ Employees"
"Twin Health",4.1,"501 to 1000 Employees"
"IQVIA",3.9,"Employees"
"Mindoula",N/A,"N/A"
"Fotona",2.6,"Employees"
"Quest Analytics, LLC",4,"201 to 500 Employees"
"Daybreak Health",2.3,"51 to 200 Employees"
"Acuity International, LLC",3.6,"1001 to 5000 Employees"
"John Snow Labs",3.9,"Employees"
"Thyme Care",3.9,"1 to 50 Employees"
"MCRA",4.1,"Employees"
"PatientIQ",4.7,"51 to 200 Employees"
"Protenus",4.5,"51 to 200 Employees"
"Intelerad Medical Systems",3.2,"501 to 1000 Employees"
"Braeburn",4.8,"Global Company Size501 to 1000 Employees"
"Crossroads",4.6,"1001 to 5000 Employees"
"H1",3.6,"501 to 1000 Employees"
"Sleep Doctor",3.7,"N/A"
"Kaia Health",N/A,"N/A"
"Eleos Health",4.6,"51 to 200 Employees"
"Studion",3.6,"1 to 50 Employees"
"1upHealth",3.7,"51 to 200 Employees"
"CarepathRx",2.9,"1001 to 5000 Employees"
"Altera Digital Health",3.5,"1001 to 5000 Employees"
"Neogene Therapeutics",5,"N/A"
"SafelyYou",3.7,"N/A"
"Univera Healthcare",3.8,"N/A"
"InductiveHealth",3.3,"51 to 200 Employees"
"Lexington Medical",4.4,"51 to 200 Employees"
"Ribbon Health",4,"51 to 200 Employees"
"Terumo",3.2,"501 to 1000 Employees"
"Wayspring",4.7,"51 to 200 Employees"
"IntrinsiQ Specialty Solutions",2.5,"N/A"
"Essia Health",3.4,"1001 to 5000 Employees"
"Kindbody",2.8,"201 to 500 Employees"
"Arcadia",4,"501 to 1000 Employees"
"Cedar",4.5,"201 to 500 Employees"
"Doximity",4.3,"501 to 1000 Employees"
"Novo Nordisk",4.3,"Global Company Size5001 to 10000 Employees"
"Zocdoc",3.9,"N/A"
"Thrive Market",3.6,"1001 to 5000 Employees"
"Cerebral",3.2,"N/A"
"Medcare MSO",3.5,"201 to 500 Employees"
"Auris Health",3.7,"201 to 500 Employees"
"Spark Advisors",5,"Employees"
"Pfizer",3.8,"Global Company Size10000+ Employees"
"8th Light, Inc.",3.6,"51 to 200 Employees"
"GHX",3.8,"501 to 1000 Employees"
"Iterative Health",3.4,"51 to 200 Employees"
"NuvoAir",4.1,"51 to 200 Employees"
"Life Fitness",3.9,"1001 to 5000 Employees"
"Schrödinger, Inc.",3.7,"501 to 1000 Employees"
"Alma",3.2,"201 to 500 Employees"
"GoHealth",2.7,"1001 to 5000 Employees"
"Strive Health",N/A,"501 to 1000 Employees"
"Cylinder",4.7,"51 to 200 Employees"
"Artera",3.6,"201 to 500 Employees"
"Flatiron Health",3.4,"1001 to 5000 Employees"
"Apploi",4.3,"Employees"
"Grow Therapy",4.8,"N/A"
"Healthcare Management Administrators (HMA)",3.8,"Employees"
"Imprivata",3.5,"N/A"
"Formation Bio",3.6,"51 to 200 Employees"
"InterSystems",4.3,"1001 to 5000 Employees"
"Vivian Health",3.4,"51 to 200 Employees"
"Nourish",4.1,"51 to 200 Employees"
"Rula",4.5,"1001 to 5000 Employees"
"Ro",2.9,"501 to 1000 Employees"
"firsthand Health Inc",3.2,"201 to 500 Employees"
"HealthJoy",3.7,"51 to 200 Employees"
"Inato",4.6,"51 to 200 Employees"
"Click Therapeutics",3.9,"5001 to 10000 Employees"
"ZS",3.6,"10000+ Employees"
"Cencora",3.6,"N/A"
"IMO Health",3.8,"201 to 500 Employees"
"WHOOP",3.4,"501 to 1000 Employees"
"Aceable",N/A,"51 to 200 Employees"
"Endpoint Clinical, Inc.",3.4,"501 to 1000 Employees"
"Carrot Fertility",N/A,"201 to 500 Employees"
"Cohere Health",3.6,"201 to 500 Employees"
"SOPHiA GENETICS",3.8,"201 to 500 Employees"
"Hart Medical Equipment",3.6,"201 to 500 Employees"
"ImmunityBio",2.8,"201 to 500 Employees"
"Verse Medical",4.2,"51 to 200 Employees"
"Verve Therapeutics",N/A,"201 to 500 Employees"
"VerifiedFirst",N/A,"N/A"
"Brave Health",N/A,"N/A"
"Edwards Lifesciences",N/A,"N/A"
"Best Practice Medicine",N/A,"N/A"
"Magellan Health",N/A,"N/A"
"Q-Centrix",N/A,"N/A"
"ICA, Inc.",N/A,"N/A"
"Gozio Health",N/A,"N/A"
"Pinnacol Assurance",N/A,"N/A"
"Danaher Corporation",N/A,"N/A"
"SWORD Health",N/A,"N/A"
"LifeMD",N/A,"N/A"
"Suki Ai",N/A,"N/A"
"K Health",N/A,"N/A"
"Prenuvo",N/A,"N/A"
"ShiftMed",N/A,"N/A"
"Quadax",N/A,"N/A"
"Dental365",N/A,"N/A"
"Martin's Point Health Care",N/A,"N/A"
"LifeStance Health",N/A,"N/A"
"ResMed",N/A,"N/A"
"ModMed",N/A,"N/A"
"Outset Medical",N/A,"N/A"
"CoverMyMeds",N/A,"N/A"
"Biointellisense",N/A,"N/A"
"Essity",N/A,"N/A"
"ClearChoiceMD",N/A,"N/A"
"MANSCAPED, Inc.",N/A,"N/A"
"InnovaCare Health",N/A,"N/A"
"Becton Dickinson",N/A,"N/A"
"athenahealth",N/A,"N/A"
"iHealth Labs",N/A,"N/A"
"Daxko",N/A,"N/A"
"Santen",N/A,"N/A"
"Topcon Healthcare",N/A,"N/A"
"Community Health Center",N/A,"N/A"
"Inizio Evoke",N/A,"N/A"
"GE Healthcare",N/A,"N/A"
"Resilience (resilience.com).",N/A,"N/A"
"Cardinal Health",N/A,"N/A"
"iMedX",N/A,"N/A"
"Cook Children's Health Care System",N/A,"N/A"
"Rhythm (myrhythmnow.com)",N/A,"N/A"
"Philips",N/A,"N/A"
"Zenas BioPharma",N/A,"N/A"
"Sevita",N/A,"N/A"
"Mission Healthcare",N/A,"N/A"
"Gossamer Bio",N/A,"N/A"
"Aetion",N/A,"N/A"
"Verana Health",N/A,"N/A"
