Company Name,URL,Glassdoor Rating
"AIRSMed","https://airsmed.com/en/swiftmr/",5
"CLEW","https://clewmed.com/",5
"Anterior","https://www.anterior.com/",5
"Datos Health","https://www.datos-health.com/care-programs/",5
"BirchAI","https://birch.ai/",5
"Layer Health","https://www.layerhealth.com/",5
"Radial Analytics","https://www.radialanalytics.com/",5
"Talkie.ai","https://www.talkie.ai/",5
"Videra Health","https://www.viderahealth.com/",5
"Xund","https://xund.ai/",5
"CodaMetrix","https://www.codametrix.com/",4.8
"Nabla Copilot","http://www.nabla.com/",4.8
"SmarterDx","https://smarterdx.com/",4.8
"Wisedocs","https://www.wisedocs.ai/",4.8
"AvoMD","https://www.avomd.com/",4.8
"Hona Health","https://hona.ai/",4.8
"Reimagine Care","https://reimaginecare.com/",4.7
"Semantic Health","https://www.semantichealth.ai/",4.7
"Abridge","https://www.abridge.com/",4.6
"Artisight","https://artisight.com/",4.6
"Eleos","https://eleos.health/",4.6
"Regard","https://withregard.com/",4.6
"Subtle Medical","https://subtlemedical.com/",4.6
"Theator","https://www.theator.io/",4.6
"Switchboard, MD","https://www.switchboardmd.com/",4.6
"Aidoc","https://www.aidoc.com/",4.5
"Cedar Pay","https://www.cedar.com/",4.5
"Avaamo","https://avaamo.ai/",4.5
"Digital Diagnostics","https://www.digitaldiagnostics.com/products/eye-disease/lumineticscore/",4.5
"Navina","https://www.navina.ai/",4.5
"Synaptec Health","https://www.synaptechealth.com/",4.5
"Lunit","https://www.lunit.io/en",4.4
"Ambience Healthcare","https://www.ambiencehealthcare.com/",4.4
"Rivet","https://www.rivethealth.com/claim-resolution",4.4
"Adonis Intelligence","https://www.adonis.io/",4.3
"Cadence","https://www.cadence.care/",4.3
"Etiometry","https://www.etiometry.com/",4.3
"Navenio","https://navenio.com/north-america/solutions/",4.3
"EliseAI","https://health.eliseai.com/",4.2
"Suki","https://suki.ai/",4.2
"Waystar","https://www.waystar.com/our-platform/financial-clearance/authorizations/",4.2
"Corti","https://www.corti.ai/",4.2
"Eon Patient Management","https://eonhealth.com/epm/",4.2
"Ushur","https://ushur.com/solutions/industries/healthcare/",4.1
"Woebot","https://woebothealth.com/",4.1
"Bayesian Health","https://www.bayesianhealth.com/",4.1
"Nym","https://nym.health/",4.1
"Develop Health","https://www.develophealth.io/",4.1
"LeanTaaS","https://leantaas.com/",4
"PayZen","https://payzen.com/",4
"Authenticx","https://authenticx.com/",4
"Element5","https://www.e5.ai/",4
"Infinitus","https://www.infinitus.ai/",4
"RapidClaims","https://www.rapidclaims.ai/",4
"SOAP Health","https://soap.health/",4
"XpertCoding","https://www.xpertdox.com/",4
"Weave","https://www.getweave.com/",3.9
"Health Note","https://healthnote.com/",3.9
"Credo","https://credohealth.com/",3.9
"Arrow","https://arrowhq.com/",3.8
"CorroHealth","https://corrohealth.com/",3.8
"Innovaccer","https://www.innovaccer.com/",3.8
"Notable","https://www.notablehealth.com/assistant",3.8
"CARPL","https://carpl.ai/",3.8
"Laguna Health","https://lagunahealth.com/",3.7
"Luminare","https://www.luminare.io/",3.7
"Artera","https://artera.io/",3.6
"Cohere Health","https://coherehealth.com/",3.6
"Datavant","https://www.datavant.com/solutions/denial-management",3.6
"Heidi Health","https://www.heidihealth.com/",3.6
"Milagro","https://milagroai.com/",3.6
"Decoded Health","https://www.decodedhealth.com/",3.6
"iScribe","https://iscribehealth.com/",3.6
"Augmedix","https://augmedix.com/augmedix-go/",3.5
"Pieces","https://piecestech.com/",3.5
"Syllable","https://syllable.ai/",3.5
"PayMedix","https://www.paymedix.com/",3.5
"Sirona","https://sironamedical.com/",3.5
"Replika","https://replika.com/",3.5
"Thoughtful AI","https://www.thoughtful.ai/",3.5
"Biofourmis","https://www.biofourmis.com/care-delivery",3.3
"Fathom","https://www.fathomhealth.com/",3.3
"Fabric","https://www.fabrichealth.com/",3.3
"Glass Health","https://glass.health/",3.3
"SuperDial","https://www.thesuperbill.com/",3.3
"Athelas","https://www.athelas.com/scribe",3.2
"Banjo Health","https://www.banjohealth.com/",3.2
"Current Health","https://www.currenthealth.com/",3.2
"SamaCare","https://www.samacare.com/",3.2
"Wysa","https://www.wysa.com/",3.2
"Clearstep","https://www.clearstep.health/",3.2
"AKASA","https://akasa.com/authadvisor/",3.1
"Ada","https://ada.com/",3.1
"Candid Health","https://www.joincandidhealth.com/",3.1
"Phare Health","https://phare.health/",3.1
"WELL Health","https://inboxadmin.wellhealth.ai/",3
"Sift Healthcare","https://www.sifthealthcare.com/denials-management",3
"Autonomize AI","https://autonomize.ai/",3
"Loyal","https://loyalhealth.com/",2.7
"CloudCruise","https://cloudcruise.com/",2.7
"DeepScribe","https://deepscribe.ai/",2.6
"Trovo Health","https://www.trovohealth.com/",2.6
"Upheal","https://www.upheal.io/",2.6
"Outbound AI","https://outbound.ai/",2.5
"Shine AI","https://www.beam.health/shine-ai",2.5
"Memora Health","https://memorahealth.com/",2.2
"Kahun","https://www.kahun.com/",2
"Maverick Medical AI","https://maverick-ai.com/",1.6
"Crosby Health","https://www.crosbyhealth.com/",1.5
"Hank AI","https://hank.ai/",1